trade_id,signal_idx,entry_idx,signal_date,entry_date,symbol,direction,signal_type,entry_price,stop_level,target_level,shares,risk_amount,risk_pct,notional,notional_pct,commission,slippage,gap_pct,atr,atr_pctile,rsi3,ema20,ema50,ema200,vix,spy_regime,volume,avg_volume_20d,skip_flags,decision_json,pnl,r_multiple,entry_fill,max_favorable_close,mfe,exit_date,exit_price,exit_reason
1,1549,1550,2021-03-03,2021-03-04,USO,long,pullback_breakout,41.88999893188477,39.547142028808594,42.77000045776367,52,120.78855895996094,0.005,2177.239944458008,0.08708959777832032,0.0,0.02,0.017744276934044123,1.161428451538086,0.5666666666666667,55.75720756475993,39.90532493230354,37.253065105462014,37.7454971588949,28.56999969482422,constructive,4764400.0,5669860.0,,"{""atr_pct"": 0.02696606593377005, ""atr_pctile"": 0.5666666666666667, ""ema20"": 39.90532493230354, ""ema200"": 37.7454971588949, ""ema50"": 37.253065105462014, ""entry_date"": ""2021-03-04"", ""entry_gap_pct"": 0.017744276934044123, ""notional_pct"": 0.1, ""risk_pct"": 0.005, ""risk_per_share"": 2.322856903076172, ""rsi3"": 55.75720756475993, ""shares"": 52, ""signal_date"": ""2021-03-03"", ""signal_type"": ""pullback_breakout"", ""skip_flags"": [], ""spy_regime"": ""constructive"", ""stop_level"": 39.547142028808594, ""target_level"": 42.77000045776367, ""vix"": 28.56999969482422}",44.7200793457028,0.37023439745254877,41.88999893188477,43.459999084472656,1.5700001525878875,2021-03-04,42.75000045776367,profit_target
2,1600,1601,2021-05-14,2021-05-17,USO,long,pullback_breakout,44.90000106811524,42.9028570992606,45.70000076293945,111,219.46298054286433,0.01,4981.680118560791,0.19926720474243165,0.0,0.02,0.003802325813547558,0.9885719844273159,0.525,55.80541041038924,43.81232799100895,42.396880563866176,39.77518895546895,19.719999313354492,constructive,5058400.0,5167485.0,,"{""atr_pct"": 0.021779510855264913, ""atr_pctile"": 0.525, ""ema20"": 43.81232799100895, ""ema200"": 39.77518895546895, ""ema50"": 42.396880563866176, ""entry_date"": ""2021-05-17"", ""entry_gap_pct"": 0.003802325813547558, ""notional_pct"": 0.2, ""risk_pct"": 0.01, ""risk_per_share"": 1.9771439688546337, ""rsi3"": 55.80541041038924, ""shares"": 111, ""signal_date"": ""2021-05-14"", ""signal_type"": ""pullback_breakout"", ""skip_flags"": [], ""spy_regime"": ""constructive"", ""stop_level"": 42.9028570992606, ""target_level"": 45.70000076293945, ""vix"": 19.719999313354492}",-223.90298054286504,-1.0202312024971953,44.90000106811524,45.40999984741211,0.5099987792968719,2021-05-19,42.8828570992606,stop_loss
3,1605,1606,2021-05-21,2021-05-24,USO,long,pullback_breakout,44.29999877929688,41.9114259992327,45.70000076293945,103,243.96299634661025,0.01,4560.839874267578,0.18243359497070313,0.0,0.02,0.013272265588821108,1.184286390032087,0.7833333333333333,49.44234390627495,43.83019284878386,42.67350763692083,39.97911851209202,18.399999618530273,constructive,4204900.0,5601365.0,,"{""atr_pct"": 0.02630578360706919, ""atr_pctile"": 0.7833333333333333, ""ema20"": 43.83019284878386, ""ema200"": 39.97911851209202, ""ema50"": 42.67350763692083, ""entry_date"": ""2021-05-24"", ""entry_gap_pct"": 0.013272265588821108, ""notional_pct"": 0.2, ""risk_pct"": 0.01, ""risk_per_share"": 2.368572780064177, ""rsi3"": 49.44234390627495, ""shares"": 103, ""signal_date"": ""2021-05-21"", ""signal_type"": ""pullback_breakout"", ""skip_flags"": [], ""spy_regime"": ""constructive"", ""stop_level"": 41.9114259992327, ""target_level"": 45.70000076293945, ""vix"": 18.399999618530273}",154.50009429931578,0.6332931494242261,44.29999877929688,45.93000030517578,1.6300015258789031,2021-05-28,45.799999694824216,profit_target
